Query;Execution Time (ms);Common count
958;87.47196197509766;12600
959;74.12290573120117;12600
960;99.29180145263672;12600
961;90.4691219329834;12600
962;54.451942443847656;12600
963;145.7231044769287;12600
964;96.79007530212402;12600
965;101.46188735961914;12600
966;98.42181205749512;12600
967;112.83302307128906;12600
968;99.62630271911621;12600
969;91.50099754333496;12600
970;96.00710868835449;12600
971;101.35197639465332;12600
972;45.864105224609375;12600
973;93.37401390075684;12600
974;91.61996841430664;12600
975;98.0536937713623;12600
976;91.89200401306152;12600
977;89.4012451171875;12600
978;132.4770450592041;12600
979;88.85812759399414;12600
980;93.33109855651855;12600
981;85.56294441223145;12600
982;88.09494972229004;12600
983;36.701202392578125;12600
984;78.3700942993164;12600
985;87.22376823425293;12600
986;31.489849090576172;12600
987;89.09010887145996;12600
988;90.27314186096191;12600
989;100.2187728881836;12600
990;115.22793769836426;12600
991;41.22281074523926;12600
992;69.39005851745605;12600
993;90.6832218170166;12600
994;81.9859504699707;12600
995;93.26624870300293;12600
996;37.47987747192383;12600
997;91.28618240356445;12600
998;96.1921215057373;12600
999;76.20501518249512;12600
1000;96.07791900634766;12600
1001;39.14332389831543;12600
1002;88.3028507232666;12600
1003;117.35296249389648;12600
1004;56.37502670288086;12600
1005;43.22504997253418;12600
1006;82.62395858764648;12600
1007;82.1230411529541;12600
1008;31.998157501220703;12600
1009;95.08419036865234;12600
1010;79.69307899475098;12600
1011;83.79101753234863;12600
1012;42.35100746154785;12600
1013;108.95013809204102;12600
1014;80.24811744689941;12600
1015;98.20818901062012;12600
1016;97.63789176940918;12600
1017;72.5088119506836;12600
1018;105.28087615966797;12600
1019;95.38006782531738;12600
1020;36.119937896728516;12600
1021;90.88802337646484;12600
1022;94.06328201293945;12600
1023;100.0051498413086;12600
1024;82.60703086853027;12600
1025;97.00679779052734;12600
1026;31.11720085144043;12600
1027;94.08426284790039;12600
1028;109.8637580871582;12600
1029;78.62401008605957;12600
1030;102.2038459777832;12600
1031;103.16109657287598;12600
1032;116.2726879119873;12600
1033;163.51580619812012;12600
1034;31.117916107177734;12600
1035;90.82794189453125;12600
1036;101.98593139648438;12600
1037;96.65489196777344;12600
1038;184.79633331298828;12600
1039;106.56619071960449;12600
1040;91.90607070922852;12600
1041;24.51491355895996;12600
1042;98.71411323547363;12600
1043;170.0916290283203;12600
1044;104.65192794799805;12600
1045;101.12524032592773;12600
1046;97.51009941101074;12600
1047;26.678085327148438;12600
1048;81.46262168884277;12600
1049;87.55898475646973;12600
1050;29.32119369506836;12600
1051;121.00505828857422;12600
1052;78.09615135192871;12600
1053;86.19189262390137;12600
1054;95.73817253112793;12600
1055;93.59622001647949;12600
1056;29.19316291809082;12600
1057;168.7941551208496;12600
1058;39.801836013793945;12600
1059;91.32504463195801;12600
1060;111.90509796142578;12600
1061;89.93697166442871;12600
1062;112.15996742248535;12600
1063;101.06205940246582;12600
1064;76.07197761535645;12600
1065;80.0638198852539;12600
